Principio Attivo;Descrizione Gruppo;Denominazione e Confezione;Prezzo al pubblico €;Prezzo Ex-factory €;Prezzo massimo di cessione €;Titolare AIC;"Codice 
AIC";Codice Gruppo Equivalenza;Metri cubi ossigeno 
Niraparib/Abiraterone;NIRAPARIB+ABIRATERONE 100+500MG 56 UNITA' USO ORALE;AKEEGA*56 cpr riv 100 mg + 500 mg;11393,63;6903,56;-;JANSSEN CILAG INTERNAT.N.V.;050646025;NTL;
Niraparib/Abiraterone;NIRAPARIB+ABIRATERONE 50+500MG 56 UNITA' USO ORALE;AKEEGA*56 cpr riv 50 mg + 500 mg;11393,63;6903,56;-;JANSSEN CILAG INTERNAT.N.V.;050646013;NTK;
Netupitant/Palonosetron;NETUPITANT+PALONOSETRON 0,5MG+300MG 1 UNITA' USO ORALE;AKYNZEO*1 cps 300 mg + 0,5 mg;149,29;90,46;-;HELSINN BIREX PHARMAC.LTD;044201010;CCM;
Acido aminolevulinico;ACIDO AMINOLEVULINICO 8MG 4 CEROTTI USO TOPICO;ALACARE*4 cerotti medicati 8 mg;231,94;140,53;-;PHOTONAMIC GMBH & Co.KG;039701014;KCV;
Sodio oxibato;SODIO OXIBATO 17,5% 10ML 12 UNITA' USO ORALE;ALCOVER*orale soluz 12 flaconcini 10 ml 17,5%;32,39;14,72;-;C.T. LAB.FARMACEUTICO Srl;027751078;BKS;
Sodio oxibato;SODIO OXIBATO 17,5% 140ML USO ORALE;ALCOVER*orale soluz 140 ml 17,5%;33,60;15,27;-;C.T. LAB.FARMACEUTICO Srl;027751066;BKT;
Laronidasi;LARONIDASI 500U 5ML 1 UNITA' USO PARENTERALE;ALDURAZYME*1 flaconcino INFUS EV 5 ml 500 U;1042,64;631,75;-;SANOFI B.V.;035891011;BCL;
Alectinib;ALECTINIB 150MG 224 UNITA' USO ORALE;ALECENSA*56x4 cps 150 mg;10128,50;6137,00;-;ROCHE REGISTRATION GMBH;045267010;KHU;
Pemetrexed;PEMETREXED 100MG 1 UNITA' USO PARENTERALE;ALIMTA*1 flaconcino polv soluz infus 100 mg;430,46;260,82;-;ELI LILLY NEDERLAND BV;036587020;BHR;
Pemetrexed;PEMETREXED 500MG 1 UNITA' USO PARENTERALE;ALIMTA*1 flaconcino polv soluz infus 500 mg;2152,31;1304,11;-;ELI LILLY NEDERLAND BV;036587018;BHS;
